number,debate_id,title,label,motion,cohort,pro_speaker,con_speaker,pro_score,con_score,con_minus_pro,higher_side,in_169_theist_non_theist_set,theist_side
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,Objective morality and theistic foundations,"Does objective morality require God as its necessary foundation, or can secular moral reasoning explain the relevant moral truths and obligations?",closed,Matt Slick,Scott Clifton,70.0,89.0,19.0,con,True,pro
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,Theism coherence and divine infinity,"Is theism coherent, especially if God is described as omnipotent, omniscient, perfectly good, and infinite in power or knowledge?",closed,Richard Swinburne,Michael Huemer,75.0,83.0,8.0,con,True,pro
194,swinburne-millican-does-god-exist-2022,Richard Swinburne vs Peter Millican: Does God Exist?,"Simplicity, cosmic order, and evil",Is God the simplest and most probable explanation of the universe and its general features?,closed,Richard Swinburne,Peter Millican,81.0,88.0,7.0,con,True,pro
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,Probability of theism,"Is theism more probable than naturalism when judged by simplicity, explanatory scope, fine-tuning, consciousness, and modality?",closed,Richard Swinburne,Graham Oppy,80.0,85.0,5.0,con,True,pro
189,tour-cronin-origin-of-life-2020,James Tour vs Lee Cronin: Are We Close to Discovering the Origin of Life?,Origin of life chemistry and evidential overstatement,Does current origin-of-life research substantially overstate how close it is to explaining the emergence of life?,closed,James Tour,Lee Cronin,82.0,80.0,-2.0,pro,False,
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,Origin of life cluelessness,"Are scientists currently clueless about the origin of life, or do prebiotic chemistry, ribozyme research, and systems chemistry already provide viable pathways toward abiogenesis?",closed,James Tour,Dave Farina,80.0,79.0,-1.0,pro,False,
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith","Evolution, agency, and Christian faith","Can Christian faith be reconciled with evolutionary theory by emphasizing agency, cognition, and natural genetic engineering, or do unresolved mechanisms in origins, body plans, fossils, and human uniqueness make evolutionary confidence overreach?",closed,James Tour,Sy Garte,79.0,80.0,1.0,con,False,
192,tour-swamidass-origin-life-chemistry-2020,James Tour vs S. Joshua Swamidass: How Close Is Origin-of-Life Science?,Prebiotic chemistry and scientific agnosticism,Has science come meaningfully close to explaining how life first arose from nonliving chemistry?,closed,James Tour,S. Joshua Swamidass,80.0,78.0,-2.0,pro,False,
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,"Cosmology, design, and anti-theism","Does God exist, and do cosmology, design, morality, consciousness, and Christian claims outweigh the anti-theist critique of religion?",closed,Frank Turek,Christopher Hitchens,74.0,81.0,7.0,con,True,pro
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,"Reality, theism, and atheism","What best explains reality: theism, with a personal creator and revelation, or atheism, with no supernatural dimension?",closed,Frank Turek,Christopher Hitchens,74.0,83.0,9.0,con,True,pro
155,turek-shermer-morality-god-science-2015,Frank Turek vs Michael Shermer: Is Morality Better Explained by God or Science?,Moral objectivity and divine grounding,"Is objective morality better explained by God as its personal ground, or by science, evolution, and human flourishing?",closed,Frank Turek,Michael Shermer,76.0,79.0,3.0,con,True,pro
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,"Reality, evidence, and skepticism","What best explains reality: theism grounded in God as the cause of creation, reason, information, morality, evil, and science, or skeptical naturalism grounded in evidence and scientific inquiry?",closed,Frank Turek,Michael Shermer,72.0,83.0,11.0,con,True,pro
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,Reality and moral responsibility,"Which better explains reality: theism, with God as the ground of creation, reason, information, morality, evil, and science, or atheism, with natural inquiry and human responsibility?",closed,Frank Turek,David Silverman,77.0,78.0,1.0,con,True,pro
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,Transcendental logic and divine evidence,Do laws of logic and other transcendental facts provide good evidence for a necessary personal God?,closed,Tyler Vela,Matt Dillahunty,76.0,84.0,8.0,con,True,pro
208,vela-jones-divine-hiddenness-christian-love-2023,Divine Hiddenness and Christian Love: Tyler Vela vs. Michael Jones (2023),Divine hiddenness and Christian love,Is divine hiddenness compatible with Christianity’s claim that God is perfectly loving?,standalone,Tyler Vela,Michael Jones,83.0,78.0,-5.0,pro,False,
187,ward-dennett-more-than-matter-2019,Keith Ward vs Daniel Dennett: Are We More Than Matter?,"Mind, consciousness, purpose, and free will","Are consciousness, personal identity, purpose, value, and free agency irreducible to the physical world?",closed,Keith Ward,Daniel Dennett,76.0,83.0,7.0,con,False,
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God","Mind, consciousness, and God","Does human consciousness, religious and moral experience, and free agency make best sense within a God-centered mind-first reality, or can agnostic naturalism absorb those mysteries without theism?",closed,Keith Ward,Michael Ruse,80.0,82.0,2.0,con,True,pro
182,white-ally-sin-salvation-quran-bible-2013,James White vs Shabir Ally: Sin and Salvation in the Qur'an and the Bible,"Sin, forgiveness, and salvation",Which account of sin and salvation—the Qur'an's direct forgiveness and moral accounting or the Bible's grace through Christ's atonement—is more coherent and scripturally grounded?,closed,James White,Shabir Ally,79.0,79.0,0.0,tie,False,
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins (2026)","God, science, and the poetry of reality",What best explains the poetry of reality: God or science?,standalone,Rowan Williams,Richard Dawkins,76.0,77.0,1.0,con,True,pro
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,Resurrection burden and history,"Is belief in Jesus' resurrection reasonable given the historical claims, testimonial sources, rival explanations, and evidential burden for supernatural causation?",closed,Mike Winger,Matt Dillahunty,80.0,86.0,6.0,con,True,pro
159,wood-aron-ra-naturalism-2023,David Wood vs Aron Ra: Is Naturalism True?,"Naturalism, evolution, and rationality","Is naturalism true, or does an evolutionary naturalist account of human cognition undermine the rational confidence required to affirm naturalism?",closed,David Wood,Aron Ra,81.0,79.0,-2.0,pro,False,
151,wood-dillahunty-god-secular-humanism-2020,David Wood vs Matt Dillahunty: God or Secular Humanism?,Moral obligation and human flourishing,Which gives a better foundation for ethics: God or secular humanism?,closed,David Wood,Matt Dillahunty,79.0,84.0,5.0,con,True,pro
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,New Testament christology,"Did Jesus personally claim divine identity, or do the relevant texts better show delegated authority, divine name-bearing, and later high christology?",closed,David Wood,Alex O'Connor,83.0,90.0,7.0,con,True,pro
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,"Science, morality, and God","Does science, morality, evil, and explanatory method support theism more strongly than skeptical naturalism?",closed,David Wood,Michael Shermer,73.0,80.0,7.0,con,True,pro
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,Christian rationality and evidence,"Is Christianity rational, and do its claims about God, morality, reason, and resurrection meet proportionate evidential standards?",closed,Stephen Woodford,Justin Brierley,82.0,77.0,-5.0,pro,True,con
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,Rational theism and gratuitous evil,"Is belief in an all-powerful, all-loving God rational given alleged gratuitous evil, salvation confusion, rationality, design, and morality?",closed,Stephen Woodford,Simon Edwards,82.0,78.0,-4.0,pro,True,con
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,Religion poison and Christian humanism,"Does religion poison everything by adding doctrine, dogma, revelation, and moral harm to human decency, or does Christianity supply the sacred ideals and institutions that made modern compassion possible?",closed,Stephen Woodford,Glen Scrivener,83.0,80.0,-3.0,pro,True,con
