number,id,title,motion,cohort,theist_side,topic,narrow,reason,gap
194,swinburne-millican-does-god-exist-2022,Richard Swinburne vs Peter Millican: Does God Exist?,Is God the simplest and most probable explanation of the universe and its general features?,earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
195,russell-copleston-existence-of-god-1948,Bertrand Russell vs Frederick Copleston: Does God Exist?,"Can God's existence be established through contingency, religious experience, or moral obligation?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,2
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,Does God exist?,later,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,2
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,Does consciousness fundamentally pervade reality and point toward God?,later,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,9
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,Do we need God for morality?,later,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,16
199,crummett-watkins-soul-existence-2020,Dustin Crummett vs Ben Watkins: Does the Soul Exist?,Does the soul exist?,later,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,Does God exist?,later,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-7
201,hernandez-dillahunty-soul-existence-2015,Does the Soul Exist? Eric Hernandez vs. Matt Dillahunty,Does the soul exist?,later,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox,Is belief in the Christian God a delusion?,later,con,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew,Does God exist?,later,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,3
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer,Can there be morality without God?,later,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,10
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins,Does God exist?,later,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins",What best explains the poetry of reality: God or science?,later,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,1
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins",Do archetypes and religious narratives convey truths that factual naturalism misses?,later,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,12
208,vela-jones-divine-hiddenness-christian-love-2023,Divine Hiddenness and Christian Love: Tyler Vela vs. Michael Jones,Is divine hiddenness compatible with Christianity’s claim that God is perfectly loving?,later,,,False,both published sides are theistic/religious,
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger,Does divine hiddenness make the existence of a perfectly loving God unlikely?,later,con,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,10
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson,Does divine hiddenness provide significant evidence against a perfectly loving God?,later,con,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,5
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch,Does divine hiddenness provide good evidence against God's existence?,later,con,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,-2
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier,Did Jesus rise from the dead?,later,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,0
213,peterson-zizek-capitalism-marxism-happiness-2019,"Capitalism, Marxism, and Human Happiness: Jordan Peterson vs. Slavoj Žižek",Does capitalism provide a greater opportunity for human happiness than Marxism?,later,,,False,no position-level theist-vs-non-theist comparison,
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford,Do religious patterns disclose enduring truths that should guide contemporary life?,later,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,4
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor,Does the available evidence warrant Christian belief?,later,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,10
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe",Does religion provide justified knowledge and meaning beyond science?,later,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,15
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor,Does the available evidence make religious belief an obligation?,later,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,15
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor,Has New Atheism failed?,later,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,10
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath,Is God a figment of our imagination?,later,con,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,5
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor,Do personal transformation and Christianity's cultural value justify belief that Christianity is true?,later,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,12
221,huemer-loeb-moral-realism-2022,Is Moral Realism Better Supported? Michael Huemer vs. Don Loeb,Is stance-independent moral realism better supported than moral anti-realism?,later,,,False,no position-level theist-vs-non-theist comparison,
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer,Does God exist?,later,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,5
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins,Does scientific understanding leave rational grounds for belief in God?,later,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,7
224,hossenfelder-kastrup-superdeterminism-2022,Is Superdeterminism Scientifically Justified? Sabine Hossenfelder vs. Bernardo Kastrup,Does superdeterminism provide a scientifically justified route to resolving quantum mechanics’ measurement problem?,later,,,False,no position-level theist-vs-non-theist comparison,
225,kastrup-jump-analytic-idealism-materialism-2023,Does Analytic Idealism Explain Consciousness Better? Bernardo Kastrup vs. Tom Jump,Does analytic idealism explain consciousness and reality better than materialism?,later,,,False,no position-level theist-vs-non-theist comparison,
226,horn-white-purgatory-2024,Is the Doctrine of Purgatory True? Trent Horn vs. James White,Is the doctrine of purgatory true?,later,,,False,both published sides are theistic/religious,
227,oldfield-marriott-meaning-without-god-2026,Is God the Answer to Our Meaning Crisis? Elizabeth Oldfield vs. James Marriott,Is life's meaning ultimately grounded in God or humanly generated within a meaningless universe?,later,pro,"Religion, culture & meaning",False,Religious purpose versus secular meaning,3
228,ehrman-evans-new-testament-misquote-jesus-2010,Does the New Testament Misquote Jesus? Bart Ehrman vs. Craig Evans,Does the New Testament misquote Jesus?,later,con,"Scripture, revelation & doctrine",False,Religious reliability defense versus skeptical history,2
229,evans-carrier-did-jesus-exist-2016,Did Jesus Exist? Craig Evans vs. Richard Carrier,Did Jesus exist?,later,,,False,A historical Jesus does not imply a divine Jesus,
230,kastrup-oppy-idealism-naturalism-2021,Does Analytic Idealism Better Explain Reality? Bernardo Kastrup vs. Graham Oppy,Does analytic idealism better explain reality than scientific naturalism?,later,,,False,Idealism versus naturalism does not itself establish a God contrast,
231,hernandez-aron-ra-soul-existence-2020,Does the Soul Exist? Eric Hernandez vs. Aron Ra,Does the soul exist?,later,,,False,A nonphysical soul does not itself imply God; consistent with exclusions 190/201,
232,goff-oppy-finite-theism-naturalism-2026,Philip Goff vs Graham Oppy: Is Finite Theism Preferable to Naturalism?,Is finite theism preferable to naturalism?,later,pro,General theism & naturalism,True,Finite theism versus naturalism,0
233,dawkins-mcgrath-christianity-reason-evidence-2006,Richard Dawkins vs Alister McGrath: Is Christianity Rational?,Is Christianity a rational explanation of reality?,later,pro,General theism & naturalism,True,Christianity as a rational worldview versus naturalistic atheism,11
234,mcgilchrist-kastrup-consciousness-purpose-2025,"Iain McGilchrist vs Bernardo Kastrup: Consciousness, God, Truth, and Purpose","Does a participatory, value-directed account better explain consciousness and cosmic purpose than analytic idealism's perspectival account?",later,,,False,Two nonstandard mind-first views; no clean religious-versus-skeptical contrast,
235,hernandez-jump-soul-free-will-consciousness-2019,"Eric Hernandez vs Tom Jump: Free Will, Consciousness, and the Existence of the Soul",Does a nonphysical human soul exist?,later,,,False,"Soul existence alone is religion-adjacent, not a theism contrast",
236,bush-sampson-moral-realism-2022,Eric Sampson vs Lance Bush: Is Moral Realism True?,Is moral realism true?,later,,,False,Moral realism versus anti-realism is not theism versus atheism,
237,licona-ehrman-historians-prove-resurrection-2008,Michael Licona vs Bart Ehrman: Can Historians Prove the Resurrection?,Can historians prove that Jesus rose from the dead?,later,pro,Resurrection & historical evidence,True,Resurrection defense versus skeptical historical method,1
238,knechtle-dillahunty-christianity-rational-2023,Stuart Knechtle vs Matt Dillahunty: Is Christianity Rational?,Is Christianity rational?,later,pro,General theism & naturalism,True,Christian rationality versus skeptical challenge,14
239,harris-peterson-religious-narrative-morality-2018,Jordan Peterson vs Sam Harris: Can Religious Narratives Ground Morality and Meaning?,Can religious narratives provide truthful and necessary foundations for morality and meaning?,later,pro,"Religion, culture & meaning",False,Religious narrative necessity versus secular alternatives,6
240,swinburne-goff-cosmic-purpose-god-2023,Richard Swinburne vs Philip Goff: What Best Explains Cosmic Purpose?,What best explains apparent cosmic purpose: an omnipotent God or a nontraditional purposeful cosmos?,later,,,False,Both sides defend cosmic purpose; alternatives include a limited designer,
241,ward-law-god-existence-2015,Keith Ward vs Stephen Law: Does God Exist?,Does God exist?,later,pro,General theism & naturalism,True,Mind-like spiritual God versus evidential skepticism,15
242,white-crossan-biblical-jesus-historicity-2005,James White vs John Dominic Crossan: Is the Bible True?,Is the orthodox biblical account of Jesus of Nazareth authentic and historically accurate?,later,,,False,Two religious readings of Jesus; consistent with Borg/Crossan exclusions,
243,aron-ra-slick-christianity-2014,Matt Slick vs Aron Ra: Is Christianity True?,Is Christianity true?,later,pro,General theism & naturalism,True,Christian truth versus evidential challenge,0
244,jones-schmid-contingency-god-2022,Michael Jones vs Joseph Schmid: Does the Contingency Argument Support God?,Does the contingency argument provide good reason to believe that the necessary foundation of reality is God?,later,pro,"Cosmology, science & design",True,Necessary divine mind versus insufficient identification,14
245,goff-folley-consciousness-mysticism-fine-tuning-2026,"Philip Goff vs Joe Folley: Consciousness, Mystical Experience, and Fine-Tuning","Do consciousness, mystical experience, and fine-tuning support a panpsychist and theistic interpretation of reality?",later,pro,"Mind, reason & logic",True,Explicit nontraditional theism versus skeptical objections,5
246,pine-schmid-divine-simplicity-2021,Gregory Pine vs Joseph Schmid: Is Divine Simplicity True?,Is divine simplicity true?,later,pro,"Scripture, revelation & doctrine",False,Classical-theist doctrine versus agnostic criticism; broad-set only,12
247,folley-scrivener-good-without-god-2025,Joe Folley vs Glen Scrivener: Goodness Without God,Can we be good without God?,later,con,Morality & moral foundations,True,God-independent goodness versus foundation in Christ,9
248,tomaszewski-schmid-classical-theism-monotheism-2020,Christopher Tomaszewski vs Joe Schmid: Classical Theism and Monotheism,"Does Thomistic classical theism adequately account for abstract objects, divine uniqueness, and relations to creation?",later,pro,"Scripture, revelation & doctrine",False,Classical-theist explanation versus agnostic criticism; broad-set only,3
249,adelstein-bush-moral-realism-2021,Matthew Adelstein vs Lance Bush: Moral Realism,Are there stance-independent moral facts?,later,,,False,Stance-independent morality is not equivalent to theism,
250,anderson-jump-logic-belief-god-2020,James Anderson vs Tom Jump: Logic and Belief in God,Is there reason to believe in God?,later,pro,"Mind, reason & logic",True,Theistic versus naturalistic explanation of logic,-5
251,oconnor-baker-hytch-evil-god-challenge-2021,Alex O'Connor vs Max Baker-Hytch: Could God Be Evil?,Does the evil-god challenge undermine belief in a wholly good God?,later,con,"Evil, suffering & hiddenness",True,Evil-God challenge versus divine-goodness defense,1
252,jones-oconnor-evil-suffering-2020,Michael Jones vs Alex O'Connor: Would a loving God allow the evil and suffering found in our world?,Would a loving God allow the evil and suffering found in our world?,later,pro,"Evil, suffering & hiddenness",True,Christian permission-of-evil defense versus suffering challenge,11
253,clifton-sechler-divine-hiddenness-hell-2022,Zac Sechler vs Scott Clifton: Is Christian belief in a loving God plausible despite divine hiddenness and the prospect of hell?,Is Christian belief in a loving God plausible despite divine hiddenness and the prospect of hell?,later,pro,"Evil, suffering & hiddenness",True,Christian plausibility versus hiddenness and hell challenge,11
